Configuration,X-linear Velocity,Y-linear Velocity,Speed,Yaw Rate
'0000000000000000,-0.01718586330077765,0.17276115332948694,0.17361385314680833,-1.213832742867079
'0000000000000001,-0.024566833195269276,0.1804033370779692,0.18206837540651974,-1.2409649261726556
'0000000000000010,-0.17937879776914673,0.1308201336836545,0.2220150039449188,-1.409504892332008
'0000000000000011,-0.30662566599855345,0.026497945249361728,0.307768866441725,-1.3946678643624413
'0000000000000100,-0.10786093216961727,0.098237158528757,0.14589215196338576,-1.1308511780159658
'0000000000000101,-0.12488222229620066,0.04826372244905352,0.13388411645851991,-0.9605651105480563
